target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,score_settle010,26.0,3.36433942916659,1.333918914439322,0.938000000000024,35.031852155043865,0.4
20.0,20A,base,27.0,3.0643563230448603,1.3172388928262642,0.9380000000000241,35.54692955353782,0.30000000000000004
20.0,20A,score_settle005,27.0,3.11125632304486,1.3172388928262642,0.9380000000000241,35.54692955353782,0.30000000000000004
20.0,20A,score_settle010,27.0,3.15815632304486,1.3172388928262642,0.9380000000000241,35.54692955353782,0.30000000000000004
20.0,20A,base,28.0,2.8581732169231295,1.3005588712132061,0.938000000000024,36.06200695203178,0.19999999999999996
20.0,20A,score_settle005,28.0,2.90507321692313,1.3005588712132061,0.938000000000024,36.06200695203178,0.19999999999999996
20.0,20A,score_settle010,28.0,2.95197321692313,1.3005588712132061,0.938000000000024,36.06200695203178,0.19999999999999996
20.0,20A,base,29.0,2.6519901108014,1.283878849600148,0.9380000000000239,36.577084350525745,0.09999999999999998
20.0,20A,score_settle005,29.0,2.6988901108014,1.283878849600148,0.9380000000000239,36.577084350525745,0.09999999999999998
20.0,20A,score_settle010,29.0,2.7457901108014,1.283878849600148,0.9380000000000239,36.577084350525745,0.09999999999999998
20.0,20A,base,30.0,2.44580700467967,1.26719882798709,0.938000000000024,37.0921617490197,0.0
20.0,20A,score_settle005,30.0,2.49270700467967,1.26719882798709,0.938000000000024,37.0921617490197,0.0
20.0,20A,score_settle010,30.0,2.53960700467967,1.26719882798709,0.938000000000024,37.0921617490197,0.0
20.0,20A,base,31.0,2.451217910604706,1.260419057948623,0.938000000000024,37.7165404317054,0.0
20.0,20A,score_settle005,31.0,2.4981179106047064,1.260419057948623,0.938000000000024,37.7165404317054,0.0
20.0,20A,score_settle010,31.0,2.5450179106047064,1.260419057948623,0.938000000000024,37.7165404317054,0.0
20.0,20A,base,32.0,2.456628816529742,1.253639287910156,0.9380000000000241,38.340919114391085,0.0
20.0,20A,score_settle005,32.0,2.5035288165297422,1.253639287910156,0.9380000000000241,38.340919114391085,0.0
20.0,20A,score_settle010,32.0,2.550428816529742,1.253639287910156,0.9380000000000241,38.340919114391085,0.0
20.0,20A,base,33.0,2.4620397224547776,1.246859517871689,0.938000000000024,38.96529779707677,0.0
20.0,20A,score_settle005,33.0,2.508939722454778,1.246859517871689,0.938000000000024,38.96529779707677,0.0
20.0,20A,score_settle010,33.0,2.555839722454778,1.246859517871689,0.938000000000024,38.96529779707677,0.0
20.0,20A,base,34.0,2.467450628379814,1.240079747833222,0.938000000000024,39.58967647976246,0.0
20.0,20A,score_settle005,34.0,2.5143506283798143,1.240079747833222,0.938000000000024,39.58967647976246,0.0
20.0,20A,score_settle010,34.0,2.561250628379814,1.240079747833222,0.938000000000024,39.58967647976246,0.0
20.0,20A,base,35.0,2.47286153430485,1.233299977794755,0.938000000000024,40.21405516244815,0.0
20.0,20A,score_settle005,35.0,2.51976153430485,1.233299977794755,0.938000000000024,40.21405516244815,0.0
20.0,20A,score_settle010,35.0,2.56666153430485,1.233299977794755,0.938000000000024,40.21405516244815,0.0
20.0,20A,base,36.0,2.478272440229886,1.226520207756288,0.938000000000024,40.83843384513384,0.0
20.0,20A,score_settle005,36.0,2.525172440229886,1.226520207756288,0.938000000000024,40.83843384513384,0.0
