case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,22,-20.941082897745414,3.6266828572511502,44.04127337001115,264.4205847880291,0,0,0,0.0,0.07857675217243137,5.866067527693558,14.36605493184725,35.5,0.10771222352767443,0.9279744129065168,7.802927899201347
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,23,-31.852475240759993,4.881549623630962,51.08800304609737,307.9703504246716,0,0,0,0.0,0.11951589026753752,6.59830938557346,13.119714870831201,40.5,0.18710155193655453,0.4884484319766885,3.6570591967039903
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,24,-30.72027926018328,5.121094731207096,51.71545292350504,269.2953443909678,0,0,0,0.0,0.11485926575747633,6.051545562948276,11.685534621693135,37.5,0.04881031531596708,0.6206688242268322,2.5151176028849376
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,25,-30.399833189979752,4.750255991079943,49.97517315867074,291.39406928380697,0,0,0,0.0,0.11437235705651426,6.493742330526869,13.285448964149863,39.5,0.2514194810662351,0.03555235785665968,0.5426402146329183
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,26,-23.222025363131447,3.7989638420294987,37.30853270809881,350.40621013029244,0,0,0,0.0,0.08668209676049739,5.8523293364400315,17.360215207115296,37.0,0.13859936430125727,0.8694421271615607,8.957301503933026
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,27,-38.87216072649462,5.554697378477386,53.933494654286655,343.7708395549321,0,0,0,0.0,0.14584998319844814,7.256035195647572,14.184149231266627,43.0,0.18771026709018454,0.4982713199418651,3.128369060109673
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,28,-25.311101670785636,4.005675822596687,50.65678958960126,301.91510155428057,0,0,0,0.0,0.0939377033624449,6.706182622950901,13.474798053642534,37.5,0.1692384040151016,0.5288775607629121,0.6869312875367771
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,29,-29.000021509066332,4.405168576224393,50.24960200761673,304.21834420104625,0,0,0,0.0,0.10890135317520398,6.579748589744976,14.224334976434427,41.0,0.12985326774877828,0.8801431715297037,7.917663428167524
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,30,-35.34338653930662,5.314689984399769,53.7164169335141,276.05389138548196,0,0,0,0.0,0.13315426506982342,6.518232642934439,12.646896015601937,41.5,0.10913950378303255,0.11278998898487314,3.4204570106517163
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,31,-30.945008934318572,4.546491430942127,51.405372064366894,331.24948940784486,0,0,0,0.0,0.11548473306386345,7.074056980119155,13.984151193009039,39.5,0.2014962824986376,0.5273461963142433,4.3193058800168345
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,32,-35.66529176142939,5.1766652003715805,53.75698320228983,309.1061566618183,0,0,0,0.0,0.13446739251009976,6.80286262917984,13.822691342527358,44.0,0.1387521759230317,0.7415362991673424,0.7175923828906907
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,33,-33.03833037292595,4.956984070382116,47.21427719570267,330.6092230311956,0,0,0,0.0,0.12446592121124456,6.589909600544006,16.152145294127322,42.5,0.029611002357510366,2.0514634635131697,4.269129347447712
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,34,-36.10566116007532,5.139980311079913,45.569801572711775,400.09081164873106,0,0,0,0.0,0.13535936571370874,6.953377806373921,18.677137035705965,42.0,0.11415009527096376,0.366828770869033,0.5704976659066994
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,35,-32.394716472240624,4.4244620651216495,54.053050225032216,350.25308001770134,0,0,0,0.0,0.12096090538761306,7.493377423160173,15.145918255411603,42.5,0.07417027467754105,0.10039109059846037,1.8383334881747453
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,36,-24.567810712197492,3.9348121025068106,48.62178281813078,300.79032343135447,0,0,0,0.0,0.09128079349496464,6.64024929548221,13.44859721443379,36.5,0.15307321288478204,0.34685113852518273,0.5119846504611082
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,37,-27.368614060211662,4.791898548540456,47.70812359290899,264.0070125305103,0,0,0,0.0,0.10249903084155808,6.080321410526465,11.909506074741396,37.5,0.058510838128706014,0.3272451353302373,2.249771159194106
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,38,-37.133857286602584,5.476977509483441,50.68899390654874,319.42407357701956,0,0,0,0.0,0.13982062990030547,6.653206305224736,14.93095153680569,41.5,0.019655232616279432,0.6325312976037866,7.969914090347529
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,39,-31.00007909427309,4.668797963300248,51.47339313935386,316.404608473075,0,0,0,0.0,0.11601680328827543,7.013980770839591,14.324180653618901,39.5,0.15989960459636954,0.7370930237035163,0.36225117800178097
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,40,-21.90245462209741,3.7691855104511545,44.65331709895734,283.4959872618,0,0,0,0.0,0.08171182377614986,6.0324951811646335,12.305592246187055,37.0,0.0269637307033927,0.45383370075289015,3.7220708616004163
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,41,-26.04208424426467,4.09669614921795,51.33559473860434,309.75758567527237,0,0,0,0.0,0.09666523396512589,6.534372006066739,13.183993970604952,38.5,0.07954115949165455,0.48204935069794186,4.617711374302838
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,42,-31.432237714619706,4.879039023961554,44.98427795465125,336.265791853226,0,0,0,0.0,0.11821911244387667,6.349621364522487,16.48422786358472,40.0,0.160316968944194,0.6173476311579129,7.542857844944784
